,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
10120,modDE,519,5,5000,0.0,-0.009086878665772602,10.36239699603951,10.401296374774109
10121,modDE,519,5,7500,0.0,-0.003869753417506505,11.883795585510892,11.902116829526406
10122,modDE,519,30,1500,0.0,-0.00024649681995447814,2.5328562339783876,2.5331054428090014
10123,modDE,519,30,3000,0.0,-0.0004534691201573349,2.4138953340578513,2.4143231846723165
10124,modDE,519,30,9000,0.0,-0.00010412579606589034,6.4574082218472055,6.457677862863387
10125,modDE,519,30,15000,0.0,-6.434850923979774e-05,9.153403268730056,9.153642670716872
10126,modDE,519,30,30000,0.0,-0.0002722842193090713,9.96161614246048,9.962698422453691
10127,modDE,519,30,45000,0.0,-0.0002548292634991789,9.871442855068315,9.872452347137038
10128,modDE,520,5,250,0.0,-0.002353812050873083,2.098966170694762,2.1010256210379556
10129,modDE,520,5,500,0.0,-0.006445353106765639,3.574463606087349,3.5833897804884827
10130,modDE,520,5,1500,0.0,-2.629846881272435e-05,5.16388330089863,5.163937470833146
10131,modDE,520,5,2500,0.0,-0.00015773380946884074,4.854759056690435,4.855063604907668
10132,modDE,520,5,5000,0.0,-0.00012552235518223931,4.378672686063052,4.378890582409388
10133,modDE,520,5,7500,0.0,-0.0004611238169751619,4.388397574790334,4.389201183333092
10134,modDE,520,30,1500,0.0,-9.535682869188378e-05,3.5675437021895546,3.5676805217516625
10135,modDE,520,30,3000,0.0,-0.00015348835966535467,3.290390085472045,3.290595886896098
10136,modDE,520,30,9000,0.0,-0.0002726002094752822,2.7955728297393536,2.795878387573206
10137,modDE,520,30,15000,0.0,-8.495726676991389e-05,2.6549799385343698,2.655069865697336
10138,modDE,520,30,30000,0.0,-0.00011587758420499306,2.8813391804916773,2.8814717958185248
10139,modDE,520,30,45000,0.0,-7.422811870014812e-05,3.774275857103118,3.774387117276208
10140,modDE,521,5,250,0.0,-0.00998051644981528,4.1099384078777135,4.117350112474945
10141,modDE,521,5,500,0.0,-0.0001596695384393776,4.353924838497566,4.354202546979919
10142,modDE,521,5,1500,0.0,-0.002084674723823454,8.653638260548659,8.661602191705663
10143,modDE,521,5,2500,0.0,-0.0026920808156493782,9.199336525338321,9.210105573984277
10144,modDE,521,5,5000,0.0,-0.0039470023158750586,10.282035632456688,10.297947165072703
10145,modDE,521,5,7500,0.0,-0.010288923976072306,11.149094374261253,11.190128771931478
10146,modDE,521,30,1500,0.0,-3.827824473345842e-05,2.495205287007352,2.49524297025155
10147,modDE,521,30,3000,0.0,-0.00024801297565884005,2.251887914902632,2.252105701126864
10148,modDE,521,30,9000,0.0,-0.00026796251952343475,6.495008936013052,6.495701688070069
10149,modDE,521,30,15000,0.0,-8.182649587320511e-05,9.534997277693325,9.535310510507816
10150,modDE,521,30,30000,0.0,-0.00010176929307164073,10.303306574614643,10.303726174881614
10151,modDE,521,30,45000,0.0,-9.637008937990466e-05,10.442017170374687,10.442419625304671
10152,modDE,522,5,250,0.0,-0.0011648161566599757,2.1102318667024322,2.111270218178558
10153,modDE,522,5,500,0.0,-0.0007565820357197328,2.0751522990891376,2.0758583463640656
10154,modDE,522,5,1500,0.0,-5.5841301694670165e-05,5.218554974800567,5.218671002627265
10155,modDE,522,5,2500,0.0,-0.00013963296628487497,4.816012939605219,4.816282018916068
10156,modDE,522,5,5000,0.0,-0.00011151785688907623,4.492218098983118,4.492414998560218
10157,modDE,522,5,7500,0.0,-0.0002636873898139047,4.629777500826934,4.630264199617374
10158,modDE,522,30,1500,0.0,-1.814474127326271e-05,3.7520379564286293,3.752065297746326
10159,modDE,522,30,3000,0.0,-1.2624055633336794e-05,3.5167391282020275,3.5167568121499486
10160,modDE,522,30,9000,0.0,-0.00020465521112527084,2.9173960864720505,2.917635588687761
10161,modDE,522,30,15000,0.0,-0.0002292490490294785,2.68720549675408,2.68745244632409
10162,modDE,522,30,30000,0.0,-0.004730146395965118,5.505880304272763,5.511924272721403
10163,modDE,522,30,45000,0.0,-1.8297413044399137e-05,5.958523558073553,5.958567049367334
10164,modDE,523,5,250,0.0,-0.009526188581083339,3.7861560534788934,3.795522665867723
10165,modDE,523,5,500,0.0,-0.00020511985773339348,4.60259018906875,4.602973633376147
10166,modDE,523,5,1500,0.0,-0.00020507101233726565,8.149001869948545,8.149667119907381
10167,modDE,523,5,2500,0.0,-0.0005617622923328903,8.119861148181927,8.12164778517035
10168,modDE,523,5,5000,0.0,-0.0052078003633617255,10.10926066612817,10.12927046379625
10169,modDE,523,5,7500,0.0,-0.008130716238463221,10.000787201187656,10.032407226778508
10170,modDE,523,30,1500,0.0,-0.00016370337583784255,2.928556640542908,2.928752224374504
10171,modDE,523,30,3000,0.0,-2.6844620384780527e-05,2.572588303397697,2.5726159494790046
10172,modDE,523,30,9000,0.0,-3.951593156363842e-05,6.340562472018627,6.340662593517694
10173,modDE,523,30,15000,0.0,-2.8523749857534143e-05,9.050371874364483,9.050474914113023
10174,modDE,523,30,30000,0.0,-5.794880010454584e-05,10.872099588645263,10.87235104929108
10175,modDE,523,30,45000,0.0,-5.878846898919043e-05,10.642783277026918,10.643033184253172
10176,modDE,524,5,250,0.0,-0.0009200060597675641,2.098596046614458,2.099402862933601
10177,modDE,524,5,500,0.0,-9.57934237622915e-05,2.0688070336749997,2.068885575048375
10178,modDE,524,5,1500,0.0,-5.556495626652946e-05,5.2230282079201436,5.22314469697737
10179,modDE,524,5,2500,0.0,-5.980149245332633e-05,4.847017956249493,4.847133707209322
10180,modDE,524,5,5000,0.0,-2.431466719015063e-05,4.453909023405914,4.453952331172397
10181,modDE,524,5,7500,0.0,-0.0003089557748627847,4.495915773553446,4.4964723983454356
10182,modDE,524,30,1500,0.0,-2.4400230788534927e-05,3.7734410748145457,3.7734778910485334
10183,modDE,524,30,3000,0.0,-4.4614868966652564e-05,3.584689091303318,3.5847532008523766
10184,modDE,524,30,9000,0.0,-0.00018779962833104236,2.977277095346907,2.977502663802362
10185,modDE,524,30,15000,0.0,-9.574886715824071e-05,2.7962421574128857,2.7963499543054584
10186,modDE,524,30,30000,0.0,-8.7550099076239e-06,6.202899673251186,6.202921429762839
10187,modDE,524,30,45000,0.0,-0.00016392489417316192,5.827773825704586,5.828156104661181
10188,modDE,525,5,250,0.0,-5.52123306412966e-05,4.982713146519307,4.982824055703806
10189,modDE,525,5,500,0.0,-0.00020419463496921253,4.544648092678258,4.545017353454265
10190,modDE,525,5,1500,0.0,-0.0003421902641267405,7.411835488547853,7.412858325585624
10191,modDE,525,5,2500,0.0,-0.0022847648415020407,9.044334202258366,9.051922294141598
10192,modDE,525,5,5000,0.0,-0.009349221482846249,11.3202275968581,11.363583991730815
10193,modDE,525,5,7500,0.0,-0.006162428591731084,13.146772588842406,13.177156971963024
10194,modDE,525,30,1500,0.0,-9.403870254849344e-05,2.961634584951468,2.9617479701894
10195,modDE,525,30,3000,0.0,-9.343856658228233e-06,2.753232764274928,2.7532430584973486
10196,modDE,525,30,9000,0.0,-4.3194004892788127e-05,5.931349822802761,5.9314530980384905
10197,modDE,525,30,15000,0.0,-5.712366000030222e-05,8.07896674413072,8.079151706189936
10198,modDE,525,30,30000,0.0,-0.00011580073081254305,11.885748937306648,11.886298227378862
10199,modDE,525,30,45000,0.0,-7.264308545091857e-05,11.915940481571972,11.916287417537948
10200,modDE,526,5,250,0.0,-0.0029267479129225114,2.102648792185239,2.1052409253057864
10201,modDE,526,5,500,0.0,-0.000185272966467398,2.1263707927385314,2.126527487175667
10202,modDE,526,5,1500,0.0,-1.5599745537375753e-05,5.214143806144156,5.214176140226809
10203,modDE,526,5,2500,0.0,-5.9358020270616765e-05,4.865953028305038,4.8660687956451065
10204,modDE,526,5,5000,0.0,-0.00017047074956737517,4.461405790948459,4.461714795149698
10205,modDE,526,5,7500,0.0,-0.0001864862561110847,4.48581876008321,4.486156807916614
10206,modDE,526,30,1500,0.0,-1.4166738220167119e-05,3.7524215807467427,3.7524428760075423
10207,modDE,526,30,3000,0.0,-6.206850279664167e-05,3.526148065078634,3.5262366698491787
10208,modDE,526,30,9000,0.0,-0.00018555916802269755,2.9307605309148377,2.9309802149340016
10209,modDE,526,30,15000,0.0,-6.954206505795923e-05,2.7120885129728545,2.7121642898417955
10210,modDE,526,30,30000,0.0,-6.59406712753885e-05,3.069380933267502,3.0694609531623738
10211,modDE,526,30,45000,0.0,-6.297566905333341e-06,5.769369068230803,5.7693835391743535
10212,modDE,527,5,250,0.0,-0.010061488325472068,4.198078055176179,4.20568675167169
10213,modDE,527,5,500,0.0,-0.0005781280991050241,4.364355190081511,4.365369473995631
10214,modDE,527,5,1500,0.0,-0.0007138772779355484,7.902334177047959,7.904552622839762
10215,modDE,527,5,2500,0.0,-0.0041886967777433615,8.537998411210564,8.55314846869815
10216,modDE,527,5,5000,0.0,-0.003251495241527591,9.910213819616414,9.923620356917676
10217,modDE,527,5,7500,0.0,-0.00538636393283447,10.98294156984525,11.006592243141963
10218,modDE,527,30,1500,0.0,-0.0002659681597386943,2.7432310057019196,2.7435261495455463
10219,modDE,527,30,3000,0.0,-8.785916035169983e-05,2.422802906781727,2.4228857933246224
10220,modDE,527,30,9000,0.0,-7.111173471305854e-05,5.240352346855214,5.240507294792487
10221,modDE,527,30,15000,0.0,-3.479976302465104e-05,8.579033436838007,8.579152489009601
10222,modDE,527,30,30000,0.0,-0.000126187864237437,9.94939674409417,9.949897753607267
10223,modDE,527,30,45000,0.0,-0.0001388615410574001,9.7907615974292,9.791302783513792
10224,modDE,528,5,250,0.0,-0.001168781216642456,2.071614657311698,2.0726323450462405
10225,modDE,528,5,500,0.0,-0.0018131673735248377,1.8832228831238034,1.8846304035566548
10226,modDE,528,5,1500,0.0,-0.00013513758254073415,4.927368925682027,4.927638417683432
10227,modDE,528,5,2500,0.0,-0.0002047043883613764,4.568782210533499,4.569156806575171
10228,modDE,528,5,5000,0.0,-9.195927560732287e-05,4.403396587522343,4.403557246710895
10229,modDE,528,5,7500,0.0,-0.00011065362078848118,4.821533451452236,4.821746075754769
10230,modDE,528,30,1500,0.0,-2.419090205916241e-05,3.200204982517383,3.2002358419555312
10231,modDE,528,30,3000,0.0,-0.00011917307582018922,2.665906568576561,2.6660351230756207
10232,modDE,528,30,9000,0.0,-7.326410818220275e-05,2.223300117606444,2.2233651880431067
10233,modDE,528,30,15000,0.0,-0.0001533861694366312,2.5697004323568486,2.569857560876607
10234,modDE,528,30,30000,0.0,-8.058731977107491e-05,6.413797428264958,6.414003218549307
10235,modDE,528,30,45000,0.0,-5.787887174508732e-05,10.551771312090208,10.552015371801325
10236,modDE,529,5,250,0.0,-0.00021399440541967075,4.825486029945962,4.8258958691695035
10237,modDE,529,5,500,0.0,-0.0009662427317344679,4.545581236227191,4.547368183600396
10238,modDE,529,5,1500,0.0,-0.0018237659798986615,8.219254908242297,8.22534973527359
10239,modDE,529,5,2500,0.0,-0.004439043610731464,8.64155773647605,8.65651523170374
10240,modDE,529,5,5000,0.0,-0.017396894115848216,10.157133256993168,10.222990043966037
10241,modDE,529,5,7500,0.0,-0.015182258171322838,10.75470820998636,10.809413122481223
10242,modDE,529,30,1500,0.0,-0.0004656669759871779,2.1840772770485897,2.1844764575393545
10243,modDE,529,30,3000,0.0,-0.00032190676747219095,2.2348858187700644,2.2351686570817892
10244,modDE,529,30,9000,0.0,-0.000730377444075625,4.322327877787236,4.323577202847466
