"","DIM","funcId","ID","runtime","run","f(x)","instance"
"421",5,10,"conf_125",250,21,1410.5032512247,4
"422",5,10,"conf_125",500,21,34.8975714077,4
"423",5,10,"conf_125",1500,21,0.4327380107,4
"424",5,10,"conf_125",2500,21,9e-10,4
"425",5,10,"conf_125",5000,21,9e-10,4
"426",5,10,"conf_125",7500,21,9e-10,4
"427",5,10,"conf_125",250,22,291.7056532613,4
"428",5,10,"conf_125",500,22,19.6589478271,4
"429",5,10,"conf_125",1500,22,2.3357670603,4
"430",5,10,"conf_125",2500,22,3.3e-09,4
"431",5,10,"conf_125",5000,22,9e-10,4
"432",5,10,"conf_125",7500,22,9e-10,4
"433",5,10,"conf_125",250,23,11369.043970262,4
"434",5,10,"conf_125",500,23,6242.715906453,4
"435",5,10,"conf_125",1500,23,442.2357230097,4
"436",5,10,"conf_125",2500,23,12.6004145214,4
"437",5,10,"conf_125",5000,23,9.59e-08,4
"438",5,10,"conf_125",7500,23,8e-10,4
"439",5,10,"conf_125",250,24,2586.559454935,4
"440",5,10,"conf_125",500,24,32.7287574445,4
"441",5,10,"conf_125",1500,24,12.2213254588,4
"442",5,10,"conf_125",2500,24,1.836e-07,4
"443",5,10,"conf_125",5000,24,7e-10,4
"444",5,10,"conf_125",7500,24,7e-10,4
"445",5,10,"conf_125",250,25,500.2218521894,4
"446",5,10,"conf_125",500,25,353.7338327407,4
"447",5,10,"conf_125",1500,25,12.7450711559,4
"448",5,10,"conf_125",2500,25,0.3843211036,4
"449",5,10,"conf_125",5000,25,1e-09,4
"450",5,10,"conf_125",7500,25,1e-09,4
"451",5,10,"conf_125",250,26,7614.0951099509,4
"452",5,10,"conf_125",500,26,1313.4648471188,4
"453",5,10,"conf_125",1500,26,11.9517395909,4
"454",5,10,"conf_125",2500,26,1.10371e-05,4
"455",5,10,"conf_125",5000,26,9e-10,4
"456",5,10,"conf_125",7500,26,9e-10,4
"457",5,10,"conf_125",250,27,347.9049135133,4
"458",5,10,"conf_125",500,27,188.0181602932,4
"459",5,10,"conf_125",1500,27,0.0866011835,4
"460",5,10,"conf_125",2500,27,1e-09,4
"461",5,10,"conf_125",5000,27,1e-09,4
"462",5,10,"conf_125",7500,27,1e-09,4
"463",5,10,"conf_125",250,28,7924.9011995034,4
"464",5,10,"conf_125",500,28,187.8934516009,4
"465",5,10,"conf_125",1500,28,0.3247896578,4
"466",5,10,"conf_125",2500,28,2e-10,4
"467",5,10,"conf_125",5000,28,2e-10,4
"468",5,10,"conf_125",7500,28,2e-10,4
"469",5,10,"conf_125",250,29,9975.4887421824,4
"470",5,10,"conf_125",500,29,627.4621378242,4
"471",5,10,"conf_125",1500,29,2.0512732641,4
"472",5,10,"conf_125",2500,29,1.465e-07,4
"473",5,10,"conf_125",5000,29,8e-10,4
"474",5,10,"conf_125",7500,29,8e-10,4
"475",5,10,"conf_125",250,30,837.2652515434,4
"476",5,10,"conf_125",500,30,146.1400767075,4
"477",5,10,"conf_125",1500,30,46.8811847937,4
"478",5,10,"conf_125",2500,30,0.000403522,4
"479",5,10,"conf_125",5000,30,9e-10,4
"480",5,10,"conf_125",7500,30,9e-10,4
"481",5,10,"conf_125",250,31,3507.7308371987,1
"482",5,10,"conf_125",500,31,30.2741465639,1
"483",5,10,"conf_125",1500,31,0.0010610033,1
"484",5,10,"conf_125",2500,31,5e-10,1
"485",5,10,"conf_125",5000,31,5e-10,1
"486",5,10,"conf_125",7500,31,5e-10,1
"487",5,10,"conf_125",250,32,3715.7833410751,1
"488",5,10,"conf_125",500,32,16.3463955016,1
"489",5,10,"conf_125",1500,32,1.9338694314,1
"490",5,10,"conf_125",2500,32,6.32e-08,1
"491",5,10,"conf_125",5000,32,3e-10,1
"492",5,10,"conf_125",7500,32,3e-10,1
"493",5,10,"conf_125",250,33,394.8095341247,1
"494",5,10,"conf_125",500,33,91.2980515548,1
"495",5,10,"conf_125",1500,33,0.0117884758,1
"496",5,10,"conf_125",2500,33,6e-10,1
"497",5,10,"conf_125",5000,33,6e-10,1
"498",5,10,"conf_125",7500,33,6e-10,1
"499",5,10,"conf_125",250,34,254.7083232395,1
"500",5,10,"conf_125",500,34,135.2925774988,1
"501",5,10,"conf_125",1500,34,0.0051904817,1
"502",5,10,"conf_125",2500,34,8e-10,1
"503",5,10,"conf_125",5000,34,8e-10,1
"504",5,10,"conf_125",7500,34,8e-10,1
"505",5,10,"conf_125",250,35,9195.2441085895,1
"506",5,10,"conf_125",500,35,687.7985170611,1
"507",5,10,"conf_125",1500,35,1.9939420021,1
"508",5,10,"conf_125",2500,35,8e-10,1
"509",5,10,"conf_125",5000,35,8e-10,1
"510",5,10,"conf_125",7500,35,8e-10,1
"511",5,10,"conf_125",250,36,3521.5824165084,1
