"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"292",5,1,"conf_532",2500,49,0.0937307489,1,5
"293",5,1,"conf_532",5000,49,0.0028756878,1,5
"294",5,1,"conf_532",7500,49,2.93549e-05,1,5
"295",5,1,"conf_532",250,50,7.8210330315,1,5
"296",5,1,"conf_532",500,50,1.2384155055,1,5
"297",5,1,"conf_532",1500,50,0.7092439456,1,5
"298",5,1,"conf_532",2500,50,0.1527735606,1,5
"299",5,1,"conf_532",5000,50,0.0020275039,1,5
"300",5,1,"conf_532",7500,50,3.5303e-05,1,5
"301",5,1,"conf_532",250,51,3.0747457635,2,5
"302",5,1,"conf_532",500,51,2.6964360817,2,5
"303",5,1,"conf_532",1500,51,0.5293693432,2,5
"304",5,1,"conf_532",2500,51,0.0540213057,2,5
"305",5,1,"conf_532",5000,51,0.0001851957,2,5
"306",5,1,"conf_532",7500,51,8.2318e-06,2,5
"307",5,1,"conf_532",250,52,7.8106368231,2,5
"308",5,1,"conf_532",500,52,2.3200655157,2,5
"309",5,1,"conf_532",1500,52,1.1331448405,2,5
"310",5,1,"conf_532",2500,52,0.1081356923,2,5
"311",5,1,"conf_532",5000,52,0.0021609411,2,5
"312",5,1,"conf_532",7500,52,3.78851e-05,2,5
"313",5,1,"conf_532",250,53,4.652807142,2,5
"314",5,1,"conf_532",500,53,3.9241099049,2,5
"315",5,1,"conf_532",1500,53,0.8251159796,2,5
"316",5,1,"conf_532",2500,53,0.0399148636,2,5
"317",5,1,"conf_532",5000,53,0.0004791957,2,5
"318",5,1,"conf_532",7500,53,1.8361e-05,2,5
"319",5,1,"conf_532",250,54,3.3387426449,2,5
"320",5,1,"conf_532",500,54,2.4388258647,2,5
"321",5,1,"conf_532",1500,54,0.1958055602,2,5
"322",5,1,"conf_532",2500,54,0.0848387888,2,5
"323",5,1,"conf_532",5000,54,0.0005054335,2,5
"324",5,1,"conf_532",7500,54,1.23053e-05,2,5
"325",5,1,"conf_532",250,55,7.6573653994,2,5
"326",5,1,"conf_532",500,55,7.1940780042,2,5
"327",5,1,"conf_532",1500,55,0.4589033852,2,5
"328",5,1,"conf_532",2500,55,0.0272878509,2,5
"329",5,1,"conf_532",5000,55,0.0011827572,2,5
"330",5,1,"conf_532",7500,55,2.64377e-05,2,5
"331",5,1,"conf_532",250,56,3.6108483018,2,5
"332",5,1,"conf_532",500,56,3.6108483018,2,5
"333",5,1,"conf_532",1500,56,0.8641496154,2,5
"334",5,1,"conf_532",2500,56,0.1050264936,2,5
"335",5,1,"conf_532",5000,56,0.0017129126,2,5
"336",5,1,"conf_532",7500,56,3.2682e-06,2,5
"337",5,1,"conf_532",250,57,2.3088619261,2,5
