"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"485",30,17,"conf_484",30000,1,0.3480420866,5,30
"486",30,17,"conf_484",45000,1,0.1009735919,5,30
"487",30,17,"conf_484",1500,2,5.1110071745,5,30
"488",30,17,"conf_484",3000,2,4.445843512,5,30
"489",30,17,"conf_484",9000,2,1.6372950031,5,30
"490",30,17,"conf_484",15000,2,0.8397055186,5,30
"491",30,17,"conf_484",30000,2,0.3233558498,5,30
"492",30,17,"conf_484",45000,2,0.1252372728,5,30
"493",30,17,"conf_484",1500,3,7.1559017285,5,30
"494",30,17,"conf_484",3000,3,5.1161958637,5,30
"495",30,17,"conf_484",9000,3,1.7507293587,5,30
"496",30,17,"conf_484",15000,3,1.0345392532,5,30
"497",30,17,"conf_484",30000,3,0.4578799292,5,30
"498",30,17,"conf_484",45000,3,0.2100966201,5,30
"499",30,17,"conf_484",1500,4,6.0953161274,5,30
"500",30,17,"conf_484",3000,4,4.2099768091,5,30
"501",30,17,"conf_484",9000,4,1.8814576553,5,30
"502",30,17,"conf_484",15000,4,0.9929973335,5,30
"503",30,17,"conf_484",30000,4,0.2284009184,5,30
"504",30,17,"conf_484",45000,4,0.1196857089,5,30
"505",30,17,"conf_484",1500,5,6.7332283359,5,30
"506",30,17,"conf_484",3000,5,4.0991872737,5,30
"507",30,17,"conf_484",9000,5,1.4917646914,5,30
"508",30,17,"conf_484",15000,5,0.7828189399,5,30
"509",30,17,"conf_484",30000,5,0.193223461,5,30
"510",30,17,"conf_484",45000,5,0.0404021336,5,30
"511",30,17,"conf_484",1500,6,7.4882570663,5,30
"512",30,17,"conf_484",3000,6,4.7793804896,5,30
"513",30,17,"conf_484",9000,6,1.9369781298,5,30
"514",30,17,"conf_484",15000,6,1.0070944359,5,30
"515",30,17,"conf_484",30000,6,0.2157221673,5,30
"516",30,17,"conf_484",45000,6,0.0588266253,5,30
"517",30,17,"conf_484",1500,7,9.2671932702,5,30
"518",30,17,"conf_484",3000,7,5.0153599474,5,30
"519",30,17,"conf_484",9000,7,2.2627024005,5,30
"520",30,17,"conf_484",15000,7,1.4286474746,5,30
"521",30,17,"conf_484",30000,7,0.6764153996,5,30
"522",30,17,"conf_484",45000,7,0.2819302971,5,30
"523",30,17,"conf_484",1500,8,8.0704359242,5,30
"524",30,17,"conf_484",3000,8,5.9167193667,5,30
"525",30,17,"conf_484",9000,8,1.9943789998,5,30
"526",30,17,"conf_484",15000,8,0.7532696455,5,30
"527",30,17,"conf_484",30000,8,0.1243673868,5,30
"528",30,17,"conf_484",45000,8,0.0326960291,5,30
"529",30,17,"conf_484",1500,9,6.982551279,5,30
"530",30,17,"conf_484",3000,9,4.6489300803,5,30
"531",30,17,"conf_484",9000,9,1.5721646326,5,30
"532",30,17,"conf_484",15000,9,0.7469879909,5,30
"533",30,17,"conf_484",30000,9,0.1910027388,5,30
"534",30,17,"conf_484",45000,9,0.0543637304,5,30
"535",30,17,"conf_484",1500,10,7.6612695431,5,30
"536",30,17,"conf_484",3000,10,4.3762389487,5,30
"537",30,17,"conf_484",9000,10,1.4032400778,5,30
"538",30,17,"conf_484",15000,10,0.7392692506,5,30
"539",30,17,"conf_484",30000,10,0.1586990533,5,30
"540",30,17,"conf_484",45000,10,0.0595664055,5,30
"541",30,18,"conf_484",1500,1,29.0541527321,5,30
"542",30,18,"conf_484",3000,1,17.2029374804,5,30
"543",30,18,"conf_484",9000,1,8.8126983422,5,30
"544",30,18,"conf_484",15000,1,4.8790905689,5,30
"545",30,18,"conf_484",30000,1,3.2691848904,5,30
"546",30,18,"conf_484",45000,1,2.1581753561,5,30
"547",30,18,"conf_484",1500,2,31.2342093464,5,30
"548",30,18,"conf_484",3000,2,21.0660963851,5,30
"549",30,18,"conf_484",9000,2,10.9980624848,5,30
"550",30,18,"conf_484",15000,2,7.803698949,5,30
"551",30,18,"conf_484",30000,2,4.8978254311,5,30
"552",30,18,"conf_484",45000,2,3.2203219847,5,30
"553",30,18,"conf_484",1500,3,34.494022967,5,30
"554",30,18,"conf_484",3000,3,18.5631306037,5,30
"555",30,18,"conf_484",9000,3,9.2331298706,5,30
"556",30,18,"conf_484",15000,3,6.6981303367,5,30
"557",30,18,"conf_484",30000,3,3.6586930785,5,30
"558",30,18,"conf_484",45000,3,1.9493175282,5,30
"559",30,18,"conf_484",1500,4,22.5348430281,5,30
"560",30,18,"conf_484",3000,4,15.2151620593,5,30
"561",30,18,"conf_484",9000,4,7.7492968217,5,30
"562",30,18,"conf_484",15000,4,6.2598419109,5,30
"563",30,18,"conf_484",30000,4,4.6909923892,5,30
"564",30,18,"conf_484",45000,4,3.6891712403,5,30
"565",30,18,"conf_484",1500,5,30.5516678876,5,30
"566",30,18,"conf_484",3000,5,17.0872074472,5,30
"567",30,18,"conf_484",9000,5,9.6363311759,5,30
"568",30,18,"conf_484",15000,5,5.7684738285,5,30
"569",30,18,"conf_484",30000,5,2.5193744039,5,30
"570",30,18,"conf_484",45000,5,1.3881179768,5,30
"571",30,18,"conf_484",1500,6,24.4265622452,5,30
"572",30,18,"conf_484",3000,6,15.0252966013,5,30
"573",30,18,"conf_484",9000,6,6.6608396049,5,30
"574",30,18,"conf_484",15000,6,4.2559568552,5,30
"575",30,18,"conf_484",30000,6,2.0942789469,5,30
"576",30,18,"conf_484",45000,6,0.9210893343,5,30
"577",30,18,"conf_484",1500,7,26.507216845,5,30
"578",30,18,"conf_484",3000,7,16.8023458819,5,30
"579",30,18,"conf_484",9000,7,8.9041327201,5,30
"580",30,18,"conf_484",15000,7,7.2655092321,5,30
"581",30,18,"conf_484",30000,7,4.5038770231,5,30
"582",30,18,"conf_484",45000,7,3.8291196962,5,30
"583",30,18,"conf_484",1500,8,36.7507563916,5,30
"584",30,18,"conf_484",3000,8,19.8145811651,5,30
"585",30,18,"conf_484",9000,8,6.3565594074,5,30
"586",30,18,"conf_484",15000,8,3.6320618225,5,30
"587",30,18,"conf_484",30000,8,1.7003458324,5,30
"588",30,18,"conf_484",45000,8,1.0579609968,5,30
"589",30,18,"conf_484",1500,9,33.920827506,5,30
"590",30,18,"conf_484",3000,9,22.8743352698,5,30
"591",30,18,"conf_484",9000,9,9.0383590295,5,30
"592",30,18,"conf_484",15000,9,6.1970012505,5,30
"593",30,18,"conf_484",30000,9,2.9614733421,5,30
"594",30,18,"conf_484",45000,9,1.5974137949,5,30
"595",30,18,"conf_484",1500,10,30.0924032106,5,30
"596",30,18,"conf_484",3000,10,19.0218223466,5,30
"597",30,18,"conf_484",9000,10,9.6522592856,5,30
"598",30,18,"conf_484",15000,10,5.5617079343,5,30
"599",30,18,"conf_484",30000,10,2.4768301851,5,30
"600",30,18,"conf_484",45000,10,1.5216657032,5,30
"601",30,19,"conf_484",1500,1,10.8589316949,5,30
"602",30,19,"conf_484",3000,1,8.6636036544,5,30
"603",30,19,"conf_484",9000,1,6.5018626804,5,30
"604",30,19,"conf_484",15000,1,6.0765482845,5,30
"605",30,19,"conf_484",30000,1,6.0765482845,5,30
"606",30,19,"conf_484",45000,1,6.0448274702,5,30
"607",30,19,"conf_484",1500,2,12.0648030625,5,30
"608",30,19,"conf_484",3000,2,9.0965474415,5,30
"609",30,19,"conf_484",9000,2,7.4742662836,5,30
"610",30,19,"conf_484",15000,2,6.4171751867,5,30
"611",30,19,"conf_484",30000,2,6.1994933175,5,30
"612",30,19,"conf_484",45000,2,5.9585927211,5,30
"613",30,19,"conf_484",1500,3,12.5724383497,5,30
"614",30,19,"conf_484",3000,3,8.8214290628,5,30
"615",30,19,"conf_484",9000,3,7.1779402291,5,30
"616",30,19,"conf_484",15000,3,6.8655836328,5,30
"617",30,19,"conf_484",30000,3,4.6371449079,5,30
"618",30,19,"conf_484",45000,3,4.6371449079,5,30
"619",30,19,"conf_484",1500,4,12.3591478833,5,30
"620",30,19,"conf_484",3000,4,8.9889778681,5,30
"621",30,19,"conf_484",9000,4,7.1907875515,5,30
"622",30,19,"conf_484",15000,4,6.5683316812,5,30
"623",30,19,"conf_484",30000,4,6.0683365697,5,30
"624",30,19,"conf_484",45000,4,5.3265818251,5,30
"625",30,19,"conf_484",1500,5,14.4073453543,5,30
"626",30,19,"conf_484",3000,5,9.1433121572,5,30
"627",30,19,"conf_484",9000,5,6.5645161818,5,30
"628",30,19,"conf_484",15000,5,6.5256770068,5,30
"629",30,19,"conf_484",30000,5,6.2300052575,5,30
"630",30,19,"conf_484",45000,5,6.105942774,5,30
"631",30,19,"conf_484",1500,6,13.1889358683,5,30
"632",30,19,"conf_484",3000,6,9.7893381232,5,30
"633",30,19,"conf_484",9000,6,7.4110970358,5,30
"634",30,19,"conf_484",15000,6,6.3088656637,5,30
"635",30,19,"conf_484",30000,6,5.9708401677,5,30
